Nombre,"φ ("")",Fecha 1ª obs.,Fecha 2ª obs.,Δt (años),"π ("")",Vr (km/s),B,V
Groombridge 1830,78.5400,1986-02-03,1997-06-04,11.33,0.1090,-98.01,7.20,6.45
Proxima Centauri,81.5200,1976-03-11,1997-03-11,21.00,0.7681,-20.58,12.95,11.13
Lacaille 9352,108.4200,1980-10-05,1996-10-04,16.00,0.3041,8.82,8.83,7.39
Kapteyn star,172.8000,1975-11-28,1996-01-28,20.17,0.2542,245.23,10.43,8.85
Epsilon indi,91.8000,1978-10-19,1997-10-09,18.97,0.2748,-40.03,5.75,4.69
Lalande 21185,37.9100,1992-02-03,2000-01-11,7.94,0.3928,-84.64,8.96,7.52
Gliese 1,104.3400,1977-09-14,1994-08-27,16.95,0.2301,25.53,10.02,8.56
Barnard star,32.4100,1988-05-12,1991-06-16,3.09,0.5470,-110.11,11.24,9.51
CD-46293,30.5500,1979-09-15,1997-09-27,18.03,0.0205,55.23,12.74,11.63
Wolf 1324,9.4190,1989-09-05,1996-09-08,7.01,0.0329,-172.38,11.89,10.68
