Nombre,"Mov. propio (""/año)",Distancia (pc),Índice espectral (B-V),Mv,Vt (km/s),V total (km/s)
Groombridge 1830,6.9308,9.17,0.75,6.64,301.37,316.91
Proxima Centauri,3.8820,1.30,1.82,15.56,23.96,31.59
Lacaille 9352,6.7774,3.29,1.44,9.81,105.65,106.02
Kapteyn star,8.5684,3.93,1.58,10.88,159.81,292.70
Epsilon indi,4.8384,3.64,1.06,6.89,83.46,92.56
Lalande 21185,4.7763,2.55,1.44,10.49,57.66,102.41
Gliese 1,6.1557,4.35,1.46,10.37,126.83,129.38
Barnard star,10.4759,1.83,1.73,13.20,90.80,142.72
CD-46293,1.6940,48.68,1.11,8.19,390.95,394.83
Wolf 1324,1.3439,30.39,1.21,8.27,193.64,259.25
